iter	Passed	Remaining
0	4	12378
1	8	11062
2	12	10237
3	16	10416
4	20	10391
5	23	9716
6	25	8995
7	28	8731
8	30	8503
9	34	8513
10	36	8194
11	38	7921
12	40	7701
13	42	7525
14	44	7322
15	47	7331
16	49	7266
17	51	7132
18	52	6836
19	54	6736
20	56	6632
21	57	6509
22	59	6437
23	62	6400
24	64	6409
25	66	6318
26	68	6304
27	71	6283
28	72	6203
29	74	6153
30	76	6105
31	79	6129
32	81	6071
33	83	6036
34	85	5997
35	86	5925
36	88	5861
37	89	5813
38	91	5784
39	93	5780
40	94	5681
41	96	5634
42	97	5596
43	99	5561
44	101	5518
45	102	5480
46	104	5448
47	106	5416
48	107	5385
49	109	5368
50	111	5347
51	113	5320
52	114	5289
53	115	5247
54	117	5221
55	118	5191
56	120	5160
57	121	5135
58	123	5102
59	125	5092
60	126	5071
61	128	5049
62	129	5027
63	131	4999
64	133	4985
65	134	4957
66	135	4936
67	137	4905
68	138	4894
69	140	4891
70	142	4874
71	144	4864
72	145	4842
73	147	4824
74	148	4803
75	150	4792
76	151	4777
77	153	4764
78	155	4751
79	157	4766
80	159	4760
81	160	4743
82	162	4725
83	163	4708
84	165	4695
85	166	4677
86	168	4661
87	169	4649
88	171	4642
89	173	4646
90	174	4630
91	176	4617
92	177	4601
93	179	4591
94	180	4575
95	182	4566
96	183	4549
97	185	4541
98	187	4540
99	189	4540
100	190	4532
101	192	4525
102	193	4511
103	195	4498
104	196	4486
105	198	4480
106	199	4470
107	201	4455
108	203	4453
109	205	4456
110	206	4444
111	208	4436
112	209	4429
113	211	4418
114	212	4414
115	214	4408
116	216	4407
117	218	4408
118	220	4411
119	222	4405
120	223	4396
121	225	4387
122	226	4380
123	228	4376
124	229	4367
125	231	4358
126	233	4356
127	235	4367
128	237	4361
129	238	4355
130	240	4348
131	242	4344
132	243	4340
133	245	4332
134	246	4321
135	247	4309
136	249	4303
137	251	4304
138	253	4298
139	254	4291
140	256	4284
141	257	4276
142	259	4269
143	260	4261
144	262	4260
145	263	4255
146	266	4260
147	268	4259
148	269	4256
149	271	4248
150	272	4240
151	274	4233
152	275	4227
153	276	4219
154	278	4214
155	279	4205
156	281	4207
157	283	4203
158	284	4195
159	286	4193
160	288	4185
161	289	4179
162	291	4173
163	292	4165
164	293	4158
165	295	4154
166	297	4158
167	299	4156
168	301	4154
169	302	4150
170	304	4147
171	306	4142
172	307	4137
173	308	4130
174	310	4124
175	312	4129
176	314	4132
177	316	4131
178	318	4127
179	319	4122
180	321	4120
181	323	4118
182	325	4117
183	326	4113
184	328	4115
185	330	4116
186	332	4112
187	334	4108
188	335	4103
189	337	4099
190	338	4094
191	340	4087
192	341	4081
193	343	4078
194	345	4084
195	347	4079
196	348	4073
197	349	4068
198	351	4063
199	352	4057
200	354	4054
201	356	4050
