iter	RMSE
0	0.5599623951
1	0.5523182477
2	0.5449989649
3	0.5380661383
4	0.5316368603
5	0.5252718572
6	0.5194748511
7	0.5136670468
8	0.5080768772
9	0.502782544
10	0.498051766
11	0.4932715999
12	0.488662497
13	0.4845390573
14	0.4802479958
15	0.4761640984
16	0.47239189
17	0.46895535
18	0.4656993582
19	0.4622667587
20	0.4592259538
21	0.456166543
22	0.4532916676
23	0.4505346801
24	0.4477791398
25	0.4452328441
26	0.4427571396
27	0.4404018407
28	0.4382663691
29	0.4360921749
30	0.4339575672
31	0.4320468346
32	0.4301269666
33	0.4283378693
34	0.4265090369
35	0.4247634369
36	0.4232122436
37	0.4216378921
38	0.4201383989
39	0.4187358873
40	0.4174032268
41	0.4160477685
42	0.4148760011
43	0.4137055439
44	0.4125742852
45	0.4113985283
46	0.4103551144
47	0.4092296388
48	0.4081982946
49	0.407218883
50	0.406101406
51	0.4052330397
52	0.4043377353
53	0.4035085999
54	0.40265386
55	0.4018995285
56	0.4011391713
57	0.4002563317
58	0.3993809114
59	0.3985376232
60	0.397895582
61	0.3971538963
62	0.3964865555
63	0.3958595521
64	0.3951691054
65	0.394463381
66	0.3939088771
67	0.393280726
68	0.3926839026
69	0.3921111636
70	0.3914981473
71	0.3910099822
72	0.3904935259
73	0.3899972569
74	0.38943066
75	0.388977287
76	0.388539432
77	0.3880164018
78	0.3876036139
79	0.3871580084
80	0.3867452072
81	0.3862841391
82	0.3859008102
83	0.3855430916
84	0.3851494106
85	0.3847015046
86	0.384294655
87	0.3839210834
88	0.3836152575
89	0.3832548823
90	0.382854104
91	0.3824793263
92	0.382157219
93	0.3818428664
94	0.3814719555
95	0.3811454241
96	0.3808635156
97	0.380495717
98	0.3801277952
99	0.3798290556
100	0.3795576694
101	0.3792604847
102	0.3789811948
103	0.3787105599
104	0.3784454553
105	0.3780712734
106	0.3778114343
107	0.3775527474
108	0.3773278679
109	0.3770068561
110	0.3767737657
111	0.3764768555
112	0.3762442209
113	0.3760246983
114	0.3756892473
115	0.375362199
116	0.375089666
117	0.3748620002
118	0.3746092337
119	0.3742966164
120	0.3739960245
121	0.3737708141
122	0.3735435684
123	0.3732852195
124	0.3730632247
125	0.3727669999
126	0.3725072558
127	0.3723186033
128	0.3721228688
129	0.3718417928
130	0.3716730255
131	0.3714377651
132	0.3712522349
133	0.3710653739
134	0.3708788756
135	0.3706416502
136	0.3704728486
137	0.370286293
138	0.3701085632
139	0.3698573475
140	0.3696958458
141	0.3695217302
142	0.3693104346
143	0.3690929114
144	0.3689258277
145	0.3687342327
146	0.3685195448
147	0.3683346111
148	0.3681080947
149	0.3679328989
150	0.3677104281
151	0.3674730469
152	0.3672850855
153	0.3670595246
154	0.3669019202
155	0.3667049164
156	0.3665569914
157	0.3663985182
158	0.3662692171
159	0.3660870447
160	0.3659575194
161	0.3657920447
162	0.365615914
163	0.36541801
164	0.3652510337
165	0.3650868099
166	0.3648928242
167	0.364704239
168	0.364541563
169	0.3644180183
170	0.3642752876
171	0.3641301241
172	0.3639797876
173	0.3638032503
174	0.3636068332
175	0.3634626393
176	0.3633226211
177	0.3632039408
178	0.3630754304
179	0.3629425188
180	0.3628347913
181	0.3627309902
182	0.3625736377
183	0.3624176225
184	0.3623073078
185	0.3621559409
186	0.3620375715
187	0.361885268
188	0.3617157028
189	0.3615840132
190	0.361467639
191	0.3613543611
192	0.3611959659
193	0.3610763441
194	0.3609674903
195	0.3608651194
196	0.3607592624
197	0.3606552751
198	0.3605335681
199	0.3603827816
200	0.3602573101
201	0.3601662861
202	0.360057639
203	0.3598949043
204	0.359766154
205	0.3596110769
206	0.3593708622
207	0.3592578776
208	0.3591415018
209	0.3589800999
210	0.3588606402
211	0.3587427274
212	0.3586143378
213	0.358476543
214	0.3583831333
215	0.3582386489
216	0.3581064974
217	0.3579877952
218	0.3578915541
219	0.3578067007
220	0.3576656641
221	0.3575300713
222	0.3574051473
223	0.3572934472
224	0.3570703487
225	0.3569454752
226	0.3568178892
227	0.356717314
228	0.3565958082
229	0.3564928645
230	0.356413278
231	0.3563203868
232	0.3562206213
233	0.3561419959
234	0.3560360921
235	0.3558906955
236	0.3558109555
237	0.3556931062
238	0.3555758789
239	0.35547359
240	0.3553160786
241	0.3552222237
242	0.3551493722
243	0.3550774137
244	0.3549446063
245	0.3548352805
246	0.3547253598
247	0.3546093847
248	0.3544828636
249	0.3543052236
250	0.3542102294
251	0.3541118603
252	0.3540026562
253	0.3538835613
254	0.3537786377
255	0.3535929635
256	0.3535191479
257	0.3534549063
258	0.3533514812
259	0.3532761944
260	0.3531735835
261	0.3530591522
262	0.3529689689
263	0.3528810333
264	0.3527914341
265	0.3526991236
266	0.3525873643
267	0.3523989438
268	0.3522700862
269	0.3520928659
270	0.3519826948
271	0.3519074598
272	0.3518201076
273	0.3517177087
274	0.35164374
275	0.3515375922
276	0.3514425983
277	0.351360678
278	0.3512786152
279	0.3511774562
280	0.3510780282
281	0.3509857955
282	0.350896784
283	0.3508151706
284	0.3507480721
285	0.3506689692
286	0.3505993543
287	0.3505061777
288	0.3504154616
289	0.3503556157
290	0.3502948932
291	0.3502075808
292	0.350126149
293	0.3500383617
294	0.3499579196
295	0.3498824101
296	0.349808613
297	0.3497382003
298	0.3496511748
299	0.3495752025
