jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,지역권평균거래,trust_target,등록비율,규모지수,지역내백분위,지역중개사수,거래효율성,매물활용도,지역경쟁력,상대적성과,log_거래완료,log_총매물수,predicted_score,actual_grade,final_temperature,final_grade
11620-2021-00004,김대환,서울특별시 관악구,2021-01-07,서울특별시 관악구 봉천동 961-2,2025-01-08,2026-01-07,1,대한공인중개사사무소,11620-2021-00004,2530,100,2630,0.9041095890410958,1.4110429439983028,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1793,0.9619771859460163,15736.739130434782,1055.9697450183637,0.03802281367375559,7.875119281040293,0.6666666666666666,69,25.299999747000005,0.9619771859460163,36.66666613526571,0.16077028276755387,7.836369760545124,7.875119281040293,1266.9234745743645,A,0.008538928936243896,A
11620-2024-00006,박지애,서울특별시 관악구,2024-01-10,서울특별시 관악구 신림동 476-11,2025-01-12,2026-01-11,1,The태양공인중개사사무소,11620-2024-00006,950,45,995,0.8931506849315068,1.366906472853372,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,695,0.9547738683871619,15736.739130434782,423.31228078014857,0.045226130607812935,6.903747257584598,0.5217391304347826,69,21.11111064197532,0.9547738683871619,13.768115742491077,0.06036828799572181,6.85751406254539,6.903747257584598,509.4322767163936,A,0.0040469813845797455,A
가3622-05-168,김미정,서울특별시 광진구,2005-10-25,서울특별시 광진구 구의동 254-30,2025-07-22,2026-07-21,1,재테크부동산공인중개사사무소,가3622-05-168,224,10,234,0.3698630136986301,0.030492785185067685,1080.5,1105.8846153846157,1080.5,1105.8846153846157,1,7346,0.9572649531740814,1080.5,119.62287644707312,0.04273504255241435,5.459585514144159,0.5,26,22.399997760000225,0.9572649531740814,8.615384284023682,0.20731142970170158,5.41610040220442,5.459585514144159,118.63660300039884,B,0.001729550271566803,C
11470-2022-00111,하임리나,서울특별시 양천구,2022-11-18,서울특별시 양천구 신월동 341-1,2025-11-21,2026-11-20,1,평강부동산공인중개사사무소,11470-2022-00111,1536,28,1564,0.0356164383561643,1.3800539071158544,2652.125,2692.5,2652.125,2692.5,1,1113,0.9820971860728278,2652.125,658.6634546533435,0.017902813287785924,7.355641102974253,0.75,8,54.857140897959255,0.9820971860728278,191.99997600000302,0.579158221961952,7.337587743538596,7.355641102974253,738.833348249387,A,0.0054073372336452975,A
11590-2015-00090,정종원,서울특별시 관악구,2015-06-18,서울특별시 관악구 봉천동 893-12,2025-06-18,2026-06-17,1,부동산포커스공인중개사사무소,11590201500090,99,30,129,0.4630136986301369,0.025895893270757024,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,3823,0.7674418545159546,15736.739130434782,63.882214568186214,0.23255813773210746,4.867534450455582,0.3188405797101449,69,3.2999998900000036,0.7674418545159546,1.4347825879017018,0.006291011064817325,4.605170185988092,4.867534450455582,71.36002269844772,C,0.0014491986057798942,C
92290000-1563,박지연,서울특별시 중랑구,2006-01-31,서울특별시 중랑구 묵동 245-8,2025-02-06,2026-02-05,1,행운공인중개사사무소,92290000-1563,3192,7,3199,0.8246575342465754,0.4403973509326162,4891.5,4927.333333333333,4891.5,4927.333333333333,1,7248,0.9978118158806465,4891.5,1312.1383279857457,0.002188183806755804,8.070906088787819,0.75,12,455.99993485715214,0.9978118158806465,265.9999778333352,0.6525605641106899,8.068716192714781,8.070906088787819,835.147174424651,A,0.005978481369580859,A
92420000-3998,오승희,서울특별시 금천구,2012-09-10,서울특별시 금천구 가산동 233-5,2025-09-10,2026-09-09,1,가산센트럴푸르지오시티공인중개사사무소,92420000-3998,15740,60,15800,0.2328767123287671,3.2561026058634455,17257.85714285714,17328.95238095238,17257.85714285714,17328.95238095238,1,4834,0.9962025315825188,17257.85714285714,6359.44710200611,0.0037974683541900337,9.6678285081515,0.9047619047619048,21,262.3333289611112,0.9962025315825188,749.5237738322012,0.9120483423170868,9.664024052354822,9.6678285081515,6577.21125813972,S,0.04002910898780268,S
11710-2019-00097,최현미,서울특별시 송파구,2019-03-06,서울특별시 송파구 가락동 119-19,2025-03-07,2026-03-06,1,한샘공인중개사사무소,11710-2019-00097,189,20,209,0.7452054794520548,0.07664233573534375,3650.272727272728,3677.090909090909,3650.272727272728,3677.090909090909,1,2466,0.9043062157688698,3650.2727272727275,104.49560983041954,0.09569377944644125,5.3471075307174685,0.5909090909090909,22,9.449999527500022,0.9043062157688698,8.590908700413241,0.05177695314000083,5.247024072160486,5.3471075307174685,201.89381908963614,B,0.002223268283113314,B
11230-2024-00088,장대병,서울특별시 동대문구,2024-09-05,서울특별시 동대문구 휘경동 183-353,2025-09-05,2026-09-04,1,국민부동산공인중개사사무소,11230-2024-00088,4698,36,4734,0.2465753424657534,10.302631556353878,1085.4615384615386,1119.1538461538462,1085.4615384615386,1119.1538461538462,1,456,0.9923954370527258,1085.4615384615386,2012.9981786751205,0.007604562736036213,8.462737005620179,0.9230769230769231,13,130.4999963750001,0.9923954370527258,361.384587585801,4.328112815798634,8.455104999102815,8.462737005620179,1736.5584264210622,S,0.011323879544368625,S
11500-2025-00066,박승욱,서울특별시 강서구,2021-07-09,서울특별시 강서구 마곡동 799-11,2025-07-12,2026-07-11,1,이로운공인중개사사무소,11500-2025-00066,60324,68,60392,0.3972602739726027,37.468322958094205,7493.90625,7538.03125,7493.90625,7538.03125,1,1610,0.9988740230328707,7493.90625,24535.24945027193,0.0011259769505708376,11.008628483166937,0.96875,32,887.117634012976,0.9988740230328707,1885.1249410898458,8.049740413012273,11.007501890493232,11.008628483166937,24584.03421640185,S,0.14681015744004017,S
