jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,rule_score,grade,등록비율,규모지수,지역내순위,지역내백분위,지역중개사수,지역평균대비거래비율,clf_pred,clf_score,final_temperature,final_grade
11620-2021-00004,김대환,서울특별시 관악구,2021-01-07,서울특별시 관악구 봉천동 961-2,2025-01-08,2026-01-07,1,대한공인중개사사무소,11620-2021-00004,2530,100,2630,0.9041095890410958,1.4118303563550052,15736.739130434782,15813.27536231884,0.7458291860449004,15813.27536231884,1,1792,0.9619771859460163,108.29228998893981,A,0.03802281367375559,7.875119281040293,24.0,0.6666666666666666,69,0.1607702827777701,A,0.18054528632751005,0.09124740375985727,A
11620-2024-00006,박지애,서울특별시 관악구,2024-01-10,서울특별시 관악구 신림동 476-11,2025-01-12,2026-01-11,1,The태양공인중개사사무소,11620-2024-00006,950,45,995,0.8931506849315068,1.3688760787191987,15736.739130434782,15813.27536231884,0.7458291860449004,15813.27536231884,1,694,0.9547738683871619,106.71552895751145,A,0.045226130607812935,6.903747257584598,34.0,0.5217391304347826,69,0.06036828799955794,A,0.12841466751648367,0.06516700971668718,A
가3622-05-168,김미정,서울특별시 광진구,2005-10-25,서울특별시 광진구 구의동 254-30,2025-07-22,2026-07-21,1,재테크부동산공인중개사사무소,가3622-05-168,224,10,234,0.3698630136986301,0.03049693668747489,1080.5,1105.8846153846157,0.7917342304661285,1105.8846153846157,1,7345,0.9572649531740814,67.1228485322488,B,0.04273504255241435,5.459585514144159,14.0,0.5,26,0.2073114298935678,B,0.0,0.0005808986889822093,C
11470-2022-00111,하임리나,서울특별시 양천구,2022-11-18,서울특별시 양천구 신월동 341-1,2025-11-21,2026-11-20,1,평강부동산공인중개사사무소,11470-2022-00111,1536,28,1564,0.0356164383561643,1.3812949627866051,2652.125,2692.5,0.7262233839050891,2692.5,1,1112,0.9820971860728278,107.98497016556216,A,0.017902813287785924,7.355641102974253,3.0,0.75,8,0.5791582221803271,A,0.12425582956952656,0.06309973529794362,A
11590-2015-00090,정종원,서울특별시 관악구,2015-06-18,서울특별시 관악구 봉천동 893-12,2025-06-18,2026-06-17,1,부동산포커스공인중개사사무소,11590201500090,99,30,129,0.4630136986301369,0.025902668753034364,15736.739130434782,15813.27536231884,0.7458291860449004,15813.27536231884,1,3822,0.7674418545159546,58.933046103678215,C,0.23255813773210746,4.867534450455582,48.0,0.3188405797101449,69,0.006291011065217091,C,0.0033333333333333327,0.0021692147370997662,C
92290000-1563,박지연,서울특별시 중랑구,2006-01-31,서울특별시 중랑구 묵동 245-8,2025-02-06,2026-02-05,1,행운공인중개사사무소,92290000-1563,3192,7,3199,0.8246575342465754,0.44045812054085026,4891.5,4927.333333333333,0.7131438550224157,4927.333333333333,1,7247,0.9978118158806465,80.25765480167553,A,0.002188183806755804,8.070906088787819,4.0,0.75,12,0.6525605642440969,A,0.05930672479981456,0.030359919821772004,A
92420000-3998,오승희,서울특별시 금천구,2012-09-10,서울특별시 금천구 가산동 233-5,2025-09-10,2026-09-09,1,가산센트럴푸르지오시티공인중개사사무소,92420000-3998,15740,60,15800,0.2328767123287671,3.256776328728165,17257.85714285714,17328.95238095238,0.76489072472925,17328.95238095238,1,4833,0.9962025315825188,165.2002983724382,A,0.0037974683541900337,9.6678285081515,3.0,0.9047619047619048,21,0.9120483423699351,S,0.6617133020941494,0.33237584207310894,S
11710-2019-00097,최현미,서울특별시 송파구,2019-03-06,서울특별시 송파구 가락동 119-19,2025-03-07,2026-03-06,1,한샘공인중개사사무소,11710-2019-00097,189,20,209,0.7452054794520548,0.07667342796078157,3650.272727272728,3677.090909090909,0.6487910155864806,3677.090909090909,1,2465,0.9043062157688698,64.96036162544304,C,0.09569377944644125,5.3471075307174685,10.0,0.5909090909090909,22,0.05177695315418524,C,0.006091954022988504,0.0036061875107148244,B
11230-2024-00088,장대병,서울특별시 동대문구,2024-09-05,서울특별시 동대문구 휘경동 183-353,2025-09-05,2026-09-04,1,국민부동산공인중개사사무소,11230-2024-00088,4698,36,4734,0.2465753424657534,10.325274702581813,1085.4615384615386,1119.1538461538462,0.6925315882323784,1119.1538461538462,1,455,0.9923954370527258,376.3793744418872,S,0.007604562736036213,8.462737005620179,2.0,0.9230769230769231,13,4.328112819785982,S,0.7218315129253519,0.3644552662178836,S
11500-2025-00066,박승욱,서울특별시 강서구,2021-07-09,서울특별시 강서구 마곡동 799-11,2025-07-12,2026-07-11,1,이로운공인중개사사무소,11500-2025-00066,60324,68,60392,0.3972602739726027,37.49160967216183,7493.90625,7538.03125,0.8400039374565196,7538.03125,1,1609,0.9988740230328707,1193.1032904607348,S,0.0011259769505708376,11.008628483166937,2.0,0.96875,32,8.049740414086445,S,0.9226434984863776,0.47267473491091566,S
