iter	Passed	Remaining
0	0	153
1	1	129
2	1	114
3	2	108
4	2	104
5	3	105
6	3	104
7	4	103
8	4	101
9	5	101
10	5	101
11	6	100
12	6	99
13	7	98
14	7	97
15	8	95
16	8	95
17	9	95
18	9	94
19	10	93
20	10	93
21	11	92
22	11	91
23	12	90
24	12	89
25	13	89
26	13	88
27	14	87
28	14	86
29	15	86
30	15	85
31	16	84
32	16	84
33	17	83
34	17	82
35	18	82
36	18	81
37	19	81
38	19	80
39	20	80
40	20	79
41	21	79
42	21	78
43	22	78
44	22	78
45	23	77
46	23	76
47	24	76
48	24	75
49	25	75
50	25	74
51	26	74
52	26	73
53	27	73
54	27	72
55	28	72
56	28	71
57	29	71
58	29	70
59	30	70
60	30	69
61	31	69
62	31	68
63	32	68
64	32	68
65	33	67
66	33	67
67	34	66
68	34	66
69	35	65
70	36	65
71	36	64
72	37	64
73	37	63
74	38	63
75	38	62
76	39	62
77	39	61
78	40	61
79	40	60
80	41	60
81	41	59
82	42	59
83	42	58
84	43	58
85	43	58
86	44	57
87	44	57
88	45	56
89	45	55
90	46	55
91	46	54
92	47	54
93	47	54
94	48	53
95	49	53
96	49	52
97	50	52
98	50	51
99	51	51
100	51	50
101	52	50
102	52	49
103	53	49
104	53	48
105	54	48
106	54	47
107	55	47
108	55	46
109	56	46
110	56	45
111	57	44
112	57	44
113	58	44
114	58	43
115	59	43
116	60	42
117	60	42
118	61	41
119	61	41
120	62	40
121	62	40
122	63	39
123	63	39
124	64	38
125	64	38
126	65	37
127	65	37
128	66	36
129	66	36
130	67	35
131	67	35
132	68	34
133	69	33
134	69	33
135	70	33
136	70	32
137	71	32
138	71	31
139	72	31
140	73	30
141	73	30
142	73	29
143	74	28
144	74	28
145	75	27
146	75	27
147	76	26
148	76	26
149	77	25
150	77	25
151	78	24
152	78	24
153	79	23
154	79	23
155	80	22
156	80	22
157	81	21
158	81	21
159	82	20
160	82	20
161	83	19
162	83	18
163	84	18
164	84	17
165	85	17
166	85	16
167	86	16
168	86	15
169	86	15
170	87	14
171	87	14
172	88	13
173	88	13
174	89	12
175	89	12
176	90	11
177	90	11
178	91	10
179	91	10
180	92	9
181	92	9
182	92	8
183	93	8
184	93	7
185	94	7
186	94	6
187	95	6
188	95	5
189	96	5
190	97	4
191	97	4
192	98	3
193	98	3
194	99	2
195	99	2
196	100	1
197	100	1
198	101	0
199	101	0
