관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11440-00017,현석어린이공원,어린이공원,,서울특별시 마포구 현석동 1-5,37.544342,126.933325,1622,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00018,창전어린이공원,어린이공원,,서울특별시 마포구 창전동 35-28,37.550161,126.929162,1185,,,,,,1940-08-20,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00019,와우어린이공원,어린이공원,,서울특별시 마포구 상수동 72-7,37.548829,126.925356,2924,,,,,,1961-07-14,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00020,서교어린이공원,어린이공원,,서울특별시 마포구 서교동 391-1,37.552019,126.915475,1761,,,,,,1960-07-13,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00021,잔다리어린이공원,어린이공원,,서울특별시 마포구 서교동 479-1,37.554524,126.9125323,774,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00022,윗잔다리어린이공원,어린이공원,,서울특별시 마포구 동교동 168-1,37.557013,126.925668,3251,,,,,,1995-05-20,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00023,동교어린이공원,어린이공원,,서울특별시 마포구 동교동 197-17,37.560093,126.923451,978,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00024,합정어린이공원,어린이공원,,서울특별시 마포구 서교동 489,37.551673,126.913138,3005,,,,,,2008-12-04,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00025,양화어린이공원,어린이공원,,서울특별시 마포구 합정동 394-1,37.55035357,126.908449,1388,,,,,,1960-07-13,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00026,한마음어린이공원,어린이공원,,서울특별시 마포구 망원동 381-1,37.554689,126.908012,770,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00027,옹달샘어린이공원,어린이공원,,서울특별시 마포구 망원동 408-3,37.555005,126.902213,1134,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00028,두리어린이공원,어린이공원,,서울특별시 마포구 망원2동 436-1,37.560249,126.901287,1007,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00029,망원새싹어린이공원,어린이공원,,서울특별시 마포구 망원2동 509-1,37.559072,126.898531,559,,,,,,2004-08-25,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00030,느티나무어린이공원,어린이공원,,서울특별시 마포구 연남동 563-5,37.559509,126.918717,993,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00031,은행나무어린이공원,어린이공원,,서울특별시 마포구 연남동 250-1,37.564634,126.922412,994,,,,,,1967-01-21,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00032,다솜어린이공원,어린이공원,,서울특별시 마포구 성산동 113-2,37.562273,126.915497,975,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00033,뒤뜰어린이공원,어린이공원,,서울특별시 마포구 성산동 588-8,37.563171,126.909337,530,,,,,,1984-12-14,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00034,외주목어린이공원,어린이공원,,서울특별시 마포구 성산동 587-18 일대,37.562753,126.907962,263,,,,,,1980-12-23,서울특별시 마포구청,02-3153-9554,2024-12-05
11440-00035,성메어린이공원,어린이공원,,서울특별시 마포구 성산동 667-1,37.568099,126.914835,640,,,,,,2004-11-10,서울특별시 마포구청,02-3153-9554,2024-12-05
